,funds_rate,oil_price,CPI,GS3,unemployment_rate,GDP,economic_growth_rate
2009-12-01,0.11806451612903227,74.59260869565217,2.72133112620585,1.38,9.9,14689.035666666667,0.2579143201088881
2010-01-01,0.11,78.42083333333333,2.62570864295763,1.49,9.8,14726.823333333334,0.2572508333710248
2010-02-01,0.12642857142857142,76.381125,2.14333177814537,1.4,9.8,14764.611,0.2565907515243754
2010-03-01,0.16451612903225807,81.20347826086957,2.31395944694395,1.51,9.9,14836.471666666666,0.48670883822584665
2010-04-01,0.19833333333333333,84.32443181818182,2.23644719564809,1.64,9.9,14908.332333333334,0.4843514568771622
2010-05-01,0.2006451612903226,73.70928571428571,2.02098608409396,1.32,9.6,14980.193,0.4820168014768043
2010-06-01,0.17666666666666667,75.3359090909091,1.05334897284567,1.17,9.4,15033.997,0.3591676021797589
2010-07-01,0.18258064516129033,76.1225,1.23519277830146,0.98,9.4,15087.801,0.357882205244554
2010-08-01,0.18935483870967743,76.59909090909092,1.1481045618392,0.78,9.5,15141.605,0.3566059759139194
2010-09-01,0.19466666666666665,75.19068181818182,1.14368265815928,0.74,9.5,15197.560333333333,0.3695469095471275
2010-10-01,0.19129032258064516,81.89285714285714,1.17218760552695,0.57,9.4,15253.515666666666,0.36818628849661195
2010-11-01,0.19433333333333333,84.22045454545454,1.14316091157028,0.67,9.8,15309.471,0.366835649932244
2010-12-01,0.1832258064516129,89.22119565217392,1.49572352731431,0.99,9.3,15323.462,0.09138787355879237
2011-01-01,0.16838709677419356,89.27749999999999,1.63184685744875,1.03,9.1,15337.453,0.09130443237957575
2011-02-01,0.15678571428571428,88.68674999999999,2.10758462865817,1.28,9.0,15351.444,0.09122114343235467
2011-03-01,0.13870967741935483,102.85652173913043,2.68160326424087,1.17,9.0,15420.141,0.4474953626512275
2011-04-01,0.098,109.63619047619048,3.16363085927646,1.21,9.1,15488.838,0.44550176292162386
2011-05-01,0.09387096774193548,100.95818181818181,3.56864578463458,0.94,9.0,15557.535,0.4435258474522112
2011-06-01,0.09200000000000001,96.26409090909091,3.55882825224234,0.71,9.1,15587.583666666667,0.1931454222450246
2011-07-01,0.07096774193548387,97.26011904761906,3.62871598222108,0.68,9.0,15617.632333333333,0.1927730898466538
2011-08-01,0.09580645161290323,86.33304347826088,3.77120817911978,0.38,9.0,15647.681,0.1924021901996849
2011-09-01,0.084,85.54204545454546,3.8683568410403,0.35,9.0,15712.543,0.4145150965181305
2011-10-01,0.0706451612903226,86.32238095238095,3.5251999213574,0.47,8.8,15777.405,0.41280396177754924
2011-11-01,0.081,97.13204545454546,3.39437759080085,0.39,8.6,15842.267,0.4111068962227893
2011-12-01,0.07161290322580646,98.66897727272728,2.96241884487108,0.39,8.5,15917.786,0.4766931399401376
2012-01-01,0.08193548387096775,100.34522727272726,2.92521671215085,0.36,8.3,15993.305,0.47443155725300135
2012-02-01,0.10379310344827586,102.34797619047619,2.87109878043822,0.38,8.3,16068.824,0.4721913325607199
2012-03-01,0.1267741935483871,106.15772727272729,2.65139819302177,0.51,8.2,16114.926,0.28690338508903296
2012-04-01,0.13933333333333334,103.30952380952381,2.30273981129894,0.43,8.2,16161.028,0.28608260441283295
2012-05-01,0.15580645161290324,94.48358695652173,1.7042537749376,0.39,8.2,16207.13,0.28526650656133357
2012-06-01,0.16166666666666668,82.30333333333333,1.66399376223851,0.39,8.2,16244.6,0.23119454215521912
2012-07-01,0.15645161290322582,87.87386363636364,1.40845070422536,0.33,8.2,16282.07,0.23066126589758656
2012-08-01,0.13225806451612904,94.13130434782609,1.69237899755015,0.37,8.1,16319.54,0.23013044410201627
2012-09-01,0.14433333333333334,94.569125,1.99128208066498,0.34,7.8,16353.155333333334,0.2059821130579243
2012-10-01,0.15838709677419355,89.4913043478261,2.16234359887113,0.37,7.8,16386.770666666667,0.20555869890634265
